ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2024-08-13T00:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T00:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T00:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T00:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T01:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T01:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T01:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T01:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T02:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T02:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T02:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T02:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T03:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T03:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T03:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T03:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T04:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T04:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T04:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T04:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T05:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T05:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T05:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T05:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T06:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T06:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T06:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T06:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T07:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T07:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T07:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T07:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T08:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T08:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T08:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T08:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T09:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T09:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T09:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T09:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T10:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T10:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T10:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T10:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T11:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T11:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T11:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T11:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T12:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T12:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T12:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T12:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T13:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T13:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T13:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T13:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T14:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T14:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T14:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T15:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T15:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T15:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T15:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
,,2024-08-13T16:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,PS_015,,,
