ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_gri_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_tracker_albedo_index,interpolated_keys_wind_direction_degrees,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2024-06-05T10:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T10:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T10:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T10:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T11:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T11:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T11:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T12:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T12:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T12:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T12:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T13:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T13:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T13:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T13:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T14:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T14:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T14:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T14:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T15:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T15:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T15:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T15:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T16:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T16:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T16:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T16:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T17:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T17:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T17:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T17:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T18:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T18:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T18:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T18:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T19:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T19:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T19:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T19:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
,,2024-06-05T20:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,PS_006,,,
25.799999237060547,11.174869537353516,2024-06-05T20:15:00Z,1,1,1,1,1,1,0,1,1,1,9.100000381469727,8.680000305175781,,,,,,,,,,24.600000381469727,0.1000000014901161,,PS_006,7158.33349609375,360.0,1.156000018119812
24.600000381469723,11.144125938415527,2024-06-05T20:30:00Z,1,1,1,1,1,1,1,1,1,1,-0.5199999809265137,-1.1299999952316284,,,,,,,,,,23.299999237060547,-2.0299999713897705,0.0,PS_006,57.29166793823242,360.0,1.9259999990463257
24.600000381469727,11.144125938415527,2024-06-05T20:45:00Z,1,1,1,1,1,1,1,1,1,1,-0.5199999809265137,-1.1299999952316284,,,,,,,,,,23.299999237060547,-2.0299999713897705,0.0,PS_006,57.29166793823242,360.0,1.925999999046326
24.15983170218234,11.133432388305664,2024-06-05T21:00:00Z,3,3,3,3,3,3,1,3,3,3,-1.9616635154701703,-1.4156953512737143,,,,,,,,,,22.859832465121798,-2.1888829675752564,0.0,PS_006,59.663223866682905,359.99999999999994,1.9139910998050713
23.8781994629972,11.136649569685108,2024-06-05T21:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.7479081754744026,-0.5538324959276525,,,,,,,,,,22.670615693470193,-1.7876468682690505,0.0,PS_006,32.16184997833587,359.99999999999994,1.2041446263672264
23.5095799849833,11.133432388305666,2024-06-05T21:30:00Z,4,4,4,4,4,4,1,4,4,4,-1.75425632038218,-0.49454423037112194,,,,,,,,,,22.247857482268373,-1.777047499587424,0.0,PS_006,27.67838909638693,360.00000000000006,1.5073002186060167
23.062395439711583,11.132724487356372,2024-06-05T21:45:00Z,3,3,3,3,3,3,1,3,3,3,-1.4678021285026337,-0.5439578022023785,,,,,,,,,,21.899999618530277,-1.5082255678217036,0.0,PS_006,32.996710148573314,360.0,1.2973687721620784
23.090144213094135,11.130685774461025,2024-06-05T22:00:00Z,4,4,4,4,4,4,1,4,4,4,-1.1063959133202046,-0.1133262774845921,,,,,,,,,,21.86845363422829,-1.1614376424618613,0.0,PS_006,7.291242338068931,360.0,1.2290735172304157
22.92310630693088,11.125861613489109,2024-06-05T22:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.8406753105866207,-0.3692325431301717,,,,,,,,,,21.447831310505077,-2.0182537546617767,0.0,PS_006,17.77934004523478,359.99999999999994,0.08076699677034377
22.79708970269937,11.1234073638916,2024-06-05T22:30:00Z,3,3,3,3,3,3,1,3,3,3,-2.2809578267826742,-0.26658359839436285,,,,,,,,,,21.32252220296607,-3.22230657553777,0.0,PS_006,7.646842739053568,360.0,0.45077270328529034
22.41008083770483,11.121243646223695,2024-06-05T22:45:00Z,4,4,4,4,4,4,1,4,4,4,-2.3976368312409226,-1.5557887043057048,,,,,,,,,,20.060671734775653,-3.365953524250499,0.0,PS_006,46.58417405469995,360.0,0.6264437941543912
21.068367556809676,11.120242236638637,2024-06-05T23:00:00Z,4,4,4,4,4,4,1,4,4,4,-2.630065904701095,-1.5227720097599267,,,,,,,,,,19.173597849213866,-3.4514805274411384,0.0,PS_006,48.910483377386086,359.99999999999994,1.1673196014639633
20.698972939431126,11.1198608267828,2024-06-05T23:15:00Z,3,3,3,3,3,3,1,3,3,3,-2.5106507912705895,-0.5936874159870262,,,,,,,,,,18.700000762939453,-3.365929381203709,0.0,PS_006,17.127360848742338,360.0,1.14892380593189
20.28133313828361,11.118060111999513,2024-06-05T23:30:00Z,4,4,4,4,4,4,1,4,4,4,-2.4876230572860285,-0.6044666544024844,,,,,,,,,,18.35320116278763,-3.2903611788122453,0.0,PS_006,17.905983650937518,360.0,1.0546707337954837
19.676286123418258,11.120642241728458,2024-06-05T23:45:00Z,4,4,4,4,4,4,1,4,4,4,-2.441791963540059,-0.6814858251716596,,,,,,,,,,17.612051710532135,-3.22543483599909,0.0,PS_006,22.721744211574514,360.00000000000006,0.6555193542593208
19.489098385437938,11.114273418415813,2024-06-06T00:00:00Z,3,3,3,3,3,3,1,3,3,3,-2.5548393316195326,-0.34353595436708834,,,,,,,,,,16.99393455373834,-2.5920742695240815,0.0,PS_006,9.72879393701,360.0,0.6301647661400105
19.74418548393342,11.116276459092363,2024-06-06T00:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.1609561115428404,-0.2434285404803001,,,,,,,,,,17.028539844495924,-2.61151497186742,0.0,PS_006,8.689126340190207,360.0,0.7298835141423341
18.865468463160266,11.115714034392857,2024-06-06T00:30:00Z,4,4,4,4,4,4,1,4,4,4,-1.8052404068280212,-0.5542041029308441,,,,,,,,,,16.399671694258313,-2.5084308840312937,0.0,PS_006,20.180171445531666,359.99999999999994,0.7773244205775498
18.78967714459618,11.113383293151855,2024-06-06T00:45:00Z,3,3,3,3,3,3,1,3,3,3,-1.487461040254575,-0.5220916503224939,,,,,,,,,,15.89375545865429,-2.708774076388024,0.0,PS_006,14.583708362704334,359.99999999999994,0.7341221780890765
18.71624520198988,11.11058912389701,2024-06-06T01:00:00Z,4,4,4,4,4,4,1,4,4,4,-1.8901376596956245,0.6050209776301256,,,,,,,,,,16.49645993994857,-2.3821014027358816,0.0,PS_006,-27.13283292967396,360.0,0.5864733783834783
18.98060816556324,11.111613196693433,2024-06-06T01:15:00Z,4,4,4,4,4,4,1,4,4,4,-2.190583550828391,-0.6742082048612235,,,,,,,,,,16.124392383176957,-2.9285905001090593,0.0,PS_006,20.299336203054274,360.0,0.0679885863565983
17.051056044478926,11.108036041259766,2024-06-06T01:30:00Z,3,3,3,3,3,3,1,3,3,3,-2.843885704091332,-0.9071910361460847,,,,,,,,,,14.600000381469727,-2.5770083178815097,0.0,PS_006,38.065455910636466,360.0,-0.0010633705097968405
16.955787086029005,11.106439023463547,2024-06-06T01:45:00Z,4,4,4,4,4,4,1,4,4,4,-1.583947152152125,-0.11979535879840295,,,,,,,,,,15.00818931125246,-2.1351474576157505,0.0,PS_006,5.788282782465446,359.99999999999994,0.8875337477183708
16.647177061296812,11.106917734234928,2024-06-06T02:00:00Z,4,4,4,4,4,4,1,4,4,4,-1.928929130610629,-0.06058693904809899,,,,,,,,,,14.804880965096851,-1.8738676131342875,0.0,PS_006,2.341817807680045,360.0,0.7739965940723005
16.752148157201106,11.104826194975914,2024-06-06T02:15:00Z,3,3,3,3,3,3,1,3,3,3,-1.2793608029276138,0.08847292047598196,,,,,,,,,,14.847852224268623,-1.583761803593972,0.0,PS_006,-3.6555005604411175,360.0,0.17362992282401946
16.95518301436094,11.10457189459076,2024-06-06T02:30:00Z,4,4,4,4,4,4,1,4,4,4,-0.7021283251915286,-0.002370640015166443,,,,,,,,,,14.825304452505542,-1.2362935524709615,0.0,PS_006,-3.3992846172531883,360.0,0.2456169532249929
16.08955613049951,11.102689743041992,2024-06-06T02:45:00Z,3,3,3,3,3,3,1,3,3,3,-1.8886054161343628,-0.5142797253457753,,,,,,,,,,14.333733133984731,-1.518205169028348,0.0,PS_006,37.990971817085324,360.0,0.6949431291983802
16.5797344425982,11.100619090588816,2024-06-06T03:00:00Z,3,3,3,3,3,3,1,3,3,3,-0.05199587382623696,0.8558370965890948,,,,,,,,,,15.06154584860602,-0.1748198112088997,0.0,PS_006,24.13323102402979,360.0,0.9449402960941014
16.925184677921827,11.101996364148556,2024-06-06T03:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.6271791123460944,-0.8378859173544895,,,,,,,,,,15.355880492046523,-1.5325796250254107,0.0,PS_006,697.1728365964764,360.00000000000006,0.6367039451244605
17.482420203913804,11.100074937804536,2024-06-06T03:30:00Z,2,2,2,2,2,2,1,2,2,2,-0.3131852455264455,0.5341938894957433,,,,,,,,,,15.79419372219904,-0.6184269754820679,0.0,PS_006,241.754693758106,360.0,0.657982419692431
17.609297504939544,11.099013283039595,2024-06-06T03:45:00Z,4,4,4,4,4,4,1,4,4,4,-1.5641787392505355,-0.7655368950507064,,,,,,,,,,16.114860088236235,-1.5928122433102208,0.0,PS_006,25.517737461395132,359.99999999999994,0.8146174553622632
16.70000076293945,11.098011016845701,2024-06-06T04:00:00Z,4,4,4,4,4,4,1,4,4,4,-1.7184246263335394,-0.35308061873631674,,,,,,,,,,15.596832206255842,-1.510711828926771,0.0,PS_006,21.20572291855009,360.0,1.5672278268472863
16.658001842965042,11.098011016845703,2024-06-06T04:15:00Z,3,3,3,3,3,3,1,3,3,3,-1.8184534395191667,-0.26677133600467007,,,,,,,,,,15.65800108955642,-1.8142989897192028,0.0,PS_006,14.164419997612187,359.99999999999994,1.4777674714338909
17.485208588019713,11.095987344038344,2024-06-06T04:30:00Z,4,4,4,4,4,4,1,4,4,4,-0.7394683390803618,0.44101241072270897,,,,,,,,,,15.896443327819568,-1.7689035922249905,0.0,PS_006,-26.4527549283823,360.00000000000006,0.9408511451662748
16.1803209526137,11.098011016845701,2024-06-06T04:45:00Z,4,4,4,4,4,4,1,4,4,4,-2.6602352071193716,-1.6050412430344392,,,,,,,,,,14.59703945436055,-2.977198033237697,0.0,PS_006,49.454289836490815,360.0,0.8890973846644058
15.42321572363999,11.093556618915425,2024-06-06T05:00:00Z,3,3,3,3,3,3,1,3,3,3,-2.078410438893205,-0.982737303442089,,,,,,,,,,14.089821295614623,-2.0739194180468004,0.0,PS_006,41.373910490470344,360.0,0.7200928608384071
15.845191554563375,11.093886051927557,2024-06-06T05:15:00Z,4,4,4,4,4,4,1,4,4,4,-1.3689505924632337,0.5517702016108702,,,,,,,,,,14.576918019034474,-1.1811419826051623,0.0,PS_006,-58.6590292433145,360.0,1.5536921264757781
16.039311727249746,11.092663764953613,2024-06-06T05:30:00Z,4,4,4,4,4,4,1,4,4,4,-1.004569403069106,0.44093985875976394,,,,,,,,,,14.739311604470045,-1.1745056646147625,0.0,PS_006,-35.20608605621692,359.99999999999994,1.093373219294565
16.451143121095072,11.09252617634329,2024-06-06T05:45:00Z,3,3,3,3,3,3,1,3,3,3,-0.7805671390343187,0.4064422134033419,,,,,,,,,,15.094556429566207,-1.271068494215243,0.0,PS_006,-31.40625035024137,360.0,0.046211249503882106
16.41640888440346,11.092024817297357,2024-06-06T06:00:00Z,4,4,4,4,4,4,1,4,4,4,-0.8345903448406343,0.05394425782899137,,,,,,,,,,14.600000381469727,-1.1902236355539286,0.0,PS_006,-6.174295208084218,360.0,0.03644767016235363
