ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_gri_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2025-02-28T00:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T00:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T00:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T00:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T01:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T01:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T01:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T01:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T02:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T02:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T02:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T02:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T03:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T03:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T03:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T03:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T04:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T04:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T04:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T04:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T05:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T05:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T05:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T05:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T06:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T06:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T06:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T06:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T07:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T07:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T07:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T07:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T08:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T08:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T08:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T08:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T09:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T09:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T09:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T09:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T10:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T10:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T10:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T10:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T11:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T11:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T11:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T11:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T12:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T12:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T12:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T12:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T13:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T13:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T13:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T13:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T14:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
,,2025-02-28T14:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_043,,,
31.261339355851867,1.3207499980926514,2025-02-28T14:45:00Z,3,3,3,3,3,3,0,0,0,3,528.6753994773347,87.98427334358313,,,,,,,,38.396317417884994,536.7075068708582,,PS_043,,,0.9419019709902428
31.614471476033142,1.3215355577682415,2025-02-28T15:00:00Z,4,4,4,4,4,4,1,0,0,4,684.9827992435324,105.79906791806546,,,,,,,,44.24170946641078,686.6014216602766,0.0,PS_043,,,2.179611751393947
31.556433131443306,1.3207499980926514,2025-02-28T15:15:00Z,3,3,3,3,3,3,1,0,0,3,1175.7474580971302,166.90186814017326,,,,,,,,39.51278283016272,1194.451370825528,0.0,PS_043,,,2.98191184125885
32.10697458447213,1.3260000944137573,2025-02-28T15:30:00Z,4,4,4,4,4,4,1,0,0,4,1138.3898460895132,164.0783943316144,,,,,,,,46.14767179963683,1146.070855051736,0.0,PS_043,,,2.763755684770797
32.79641694471386,1.3294128002616092,2025-02-28T15:45:00Z,4,4,4,4,4,4,1,0,0,4,1270.0261622849664,180.87946051780213,,,,,,,,49.52599837151642,1281.2402951633221,0.0,PS_043,,,2.2462828877553314
33.25111543786438,1.3320000171661377,2025-02-28T16:00:00Z,3,3,3,3,3,3,1,0,0,3,1122.088048321325,167.31708854915078,,,,,,,,48.255509180860585,1148.0832325593424,0.0,PS_043,,,2.9570339300816073
