ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_battery_voltage,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_gri_irradiance_wm2,interpolated_keys_panel_temperature_celsius,interpolated_keys_poa_irradiance_wm2,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2025-02-28T12:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T12:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T12:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T13:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T13:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T13:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T13:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T14:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T14:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T14:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T15:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T15:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T15:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
,,2025-02-28T15:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,PS_050,,,
30.340003967285156,16.421649932861328,2025-02-28T16:00:00Z,1,1,1,1,1,1,0,0,0,1,1080.239990234375,66.0,,,,,,,,48.70000076293945,1084.4000244140625,,PS_050,,,3.5460000038146973
30.29756296475081,16.34539474740428,2025-02-28T16:15:00Z,3,3,3,3,3,3,1,0,0,3,1063.0038599492304,66.1925540964065,,,,,,,,50.681274866130174,1067.9580635481805,7.800000190734863,PS_050,,,2.807272377424019
30.814485489723733,16.357791842957475,2025-02-28T16:30:00Z,3,3,3,3,3,3,1,0,0,3,1112.4633761894577,70.479133076648,,,,,,,,52.09984563704206,1117.5870224104337,7.800000190734863,PS_050,,,3.169096886383662
30.986235294738808,16.30144208404351,2025-02-28T16:45:00Z,4,4,4,4,4,4,1,0,0,4,1041.6574802777538,71.69214273407256,,,,,,,,50.82204648480292,1050.7442654498325,7.800000190734863,PS_050,,,4.136967743025927
31.060587735624985,16.218972203992397,2025-02-28T17:00:00Z,3,3,3,3,3,3,1,0,0,3,1008.0846015286348,75.0968047116868,,,,,,,,51.11325931046318,1020.4681566826956,7.800000190734863,PS_050,,,3.7998528139413166
31.17915601555877,16.109755789404932,2025-02-28T17:15:00Z,4,4,4,4,4,4,1,0,0,4,963.558427413171,76.51939309033786,,,,,,,,50.72862629948921,977.2325778753685,7.800000190734863,PS_050,,,4.494269987591189
31.305046948985694,15.419201393281158,2025-02-28T17:30:00Z,4,4,4,4,4,4,1,0,0,4,693.6308161671985,56.22842608349741,,,,,,,,50.82182111107773,676.1642896908913,7.800000190734863,PS_050,,,2.523289656608728
31.163450163446605,14.729766764854684,2025-02-28T17:45:00Z,3,3,3,3,3,3,1,0,0,3,429.89958915169956,40.22429168364322,,,,,,,,50.29773208772223,436.1938434473545,7.800000190734863,PS_050,,,1.6969906639765397
31.11892372057437,15.105109153980287,2025-02-28T18:00:00Z,4,4,4,4,4,4,1,0,0,4,774.413798167756,88.02813166003143,,,,,,,,45.023281399548345,799.0101324083963,7.800000190734863,PS_050,,,3.3686744957879577
32.342107942393504,15.241470394357574,2025-02-28T18:15:00Z,4,4,4,4,4,4,1,0,0,4,795.7237400513103,90.73048373126419,,,,,,,,50.81428283000096,809.0638413797576,7.800000190734863,PS_050,,,1.1460270010974265
31.80665308408787,14.567860831172508,2025-02-28T18:30:00Z,3,3,3,3,3,3,1,0,0,3,745.4348773110361,95.551833090444,,,,,,,,47.099998474121094,759.7833933972469,7.800000190734863,PS_050,,,2.3747386268817534
32.25064897757381,14.931783368871306,2025-02-28T18:45:00Z,4,4,4,4,4,4,1,0,0,4,690.3735146109727,95.39603448594573,,,,,,,,48.065981218781005,703.6443714659988,7.800000190734863,PS_050,,,2.614184328011831
31.883160958677504,14.793597286576384,2025-02-28T19:00:00Z,4,4,4,4,4,4,1,0,0,4,613.9406739547703,95.71675597965685,,,,,,,,45.00402452721649,631.9283970826641,7.800000190734863,PS_050,,,2.9136041470217604
32.12649141207682,14.694587269540596,2025-02-28T19:15:00Z,3,3,3,3,3,3,1,0,0,3,561.1186782686677,94.96230679992908,,,,,,,,43.25582252284066,580.3298800058391,7.800000190734863,PS_050,,,3.030349882608264
32.414867250867296,14.64814806257897,2025-02-28T19:30:00Z,4,4,4,4,4,4,1,0,0,4,527.2411507060598,91.78799272035519,,,,,,,,43.484186673577824,540.4822308527705,7.800000190734863,PS_050,,,2.7158875821204083
31.846016459864234,14.716380626750313,2025-02-28T19:45:00Z,4,4,4,4,4,4,1,0,0,4,531.5445729860526,89.71213918087122,,,,,,,,40.513135992766536,544.9980502355053,7.800000190734863,PS_050,,,2.831241750409296
30.64565626209396,14.47263678430831,2025-02-28T20:00:00Z,3,3,3,3,3,3,1,0,0,3,418.40030911105714,74.75605687658005,,,,,,,,37.93523783480128,428.65945092158427,7.800000190734863,PS_050,,,5.092371458899298
29.650657049200365,14.174024010483626,2025-02-28T20:15:00Z,4,4,4,4,4,4,1,0,0,4,217.56718015934933,33.79163447563855,,,,,,,,32.837343417862115,220.21875972645597,7.800000190734863,PS_050,,,2.708383150098007
29.171486327924878,14.144125596652248,2025-02-28T20:30:00Z,4,4,4,4,4,4,1,0,0,4,219.67658426507668,37.551430553320714,,,,,,,,30.95078480857807,216.78396318512117,7.800000190734863,PS_050,,,2.590750315447981
28.69168062180236,14.052468903747247,2025-02-28T20:45:00Z,3,3,3,3,3,3,1,0,0,3,133.81755919134312,16.173815021445662,,,,,,,,29.46266398057277,135.2967169312029,7.800000190734863,PS_050,,,2.570879444466984
28.790459307871515,14.024511309970583,2025-02-28T21:00:00Z,4,4,4,4,4,4,1,0,0,4,69.7136605238929,22.361765800356103,,,,,,,,29.134880992899955,119.6388984127282,7.800000190734863,PS_050,,,2.711262152793861
27.997192022622198,13.878565410974524,2025-02-28T21:15:00Z,3,3,3,3,3,3,1,0,0,3,31.454880410541527,4.80971340979477,,,,,,,,27.470066045266183,34.120841401104215,7.800000190734863,PS_050,,,1.94957096874092
26.947811662301923,13.714362996264727,2025-02-28T21:30:00Z,4,4,4,4,4,4,1,0,0,4,8.279686820109502,1.569562662740374,,,,,,,,24.936797539931867,9.67110394726358,7.800000190734863,PS_050,,,1.8729254082792537
26.298433899002244,13.559917859897068,2025-02-28T21:45:00Z,4,4,4,4,4,4,1,0,0,4,0.21116465057730247,-0.1659019080566172,,,,,,,,23.313572118518124,-0.02480107423925827,7.800000190734863,PS_050,,,2.3393322153311016
26.026209876381653,13.47346189370194,2025-02-28T22:00:00Z,3,3,3,3,3,3,1,0,0,3,-1.4231204819504863,-0.37841855480030334,,,,,,,,22.612154886174512,-1.4572584104745574,7.800000190734863,PS_050,,,2.318669192733094
25.70560508636404,13.442996931023945,2025-02-28T22:15:00Z,4,4,4,4,4,4,1,0,0,4,-1.3649863991545619,-0.40695053700734074,,,,,,,,22.052093407216933,-1.448033251582161,7.800000190734863,PS_050,,,1.9766117552967493
25.18742893014569,13.45074752266037,2025-02-28T22:30:00Z,4,4,4,4,4,4,1,0,0,4,-1.3282087568579224,-0.3669005304144284,,,,,,,,21.71508586337821,-1.3588445817828487,7.800000190734863,PS_050,,,3.118009023351145
25.26487038030212,13.462719206834612,2025-02-28T22:45:00Z,3,3,3,3,3,3,1,0,0,3,-1.392837516681418,-0.3842658250802439,,,,,,,,21.600000381469727,-1.2729393650678362,7.800000190734863,PS_050,,,2.422475989671776
24.656664625321813,13.465817296930902,2025-02-28T23:00:00Z,4,4,4,4,4,4,1,0,0,4,-1.2589711987180279,-0.38790318151572434,,,,,,,,21.133813249666698,-1.3503180166339792,7.800000190734863,PS_050,,,1.337256921048576
24.31077716095085,13.462110181883906,2025-02-28T23:15:00Z,4,4,4,4,4,4,1,0,0,4,-1.270936968207594,-0.3725005495323027,,,,,,,,20.601198661878573,-1.6078366298403401,7.800000190734863,PS_050,,,2.2626605117324083
24.07412789994293,13.454821860179559,2025-02-28T23:30:00Z,3,3,3,3,3,3,1,0,0,3,-1.6044286575144036,-0.34205383607641676,,,,,,,,20.0,-1.7458621632456597,7.800000190734863,PS_050,,,2.890079788938362
24.02443330500508,13.453249931335451,2025-02-28T23:45:00Z,4,4,4,4,4,4,1,0,0,4,-1.7281377551705013,-0.39501307216213877,,,,,,,,20.109021198580606,-1.5190322925422155,7.800000190734863,PS_050,,,2.9000204492269743
23.921617065838905,13.447149907955925,2025-03-01T00:00:00Z,4,4,4,4,4,4,1,0,0,4,-1.527523635322569,-0.3631026690870934,,,,,,,,20.17685559037695,-1.6552121642216282,7.800000190734863,PS_050,,,2.923531533691284
23.99365069441692,13.441507361521326,2025-03-01T00:15:00Z,3,3,3,3,3,3,1,0,0,3,-1.72855593137247,-0.428522656613032,,,,,,,,20.075501996669868,-1.8026633514872918,7.800000190734863,PS_050,,,4.301239795369995
23.565627319596576,13.434731978928,2025-03-01T00:30:00Z,4,4,4,4,4,4,1,0,0,4,-1.5776552265173538,-0.33370140588471314,,,,,,,,19.737885195684353,-1.565885606597758,7.800000190734863,PS_050,,,3.1817315033165565
22.666380231686443,13.43083454755879,2025-03-01T00:45:00Z,3,3,3,3,3,3,1,0,0,3,-1.075339720274582,-0.12896900153866236,,,,,,,,19.167019264028898,-1.540423485513933,7.800000190734863,PS_050,,,2.170753764094179
22.136162312935088,13.422199558145547,2025-03-01T01:00:00Z,4,4,4,4,4,4,1,0,0,4,-1.7117974000266398,-0.33630752008292425,,,,,,,,18.00261352419475,-1.591181297427255,7.800000190734863,PS_050,,,2.1274623701066164
21.7574075787749,13.418189060715353,2025-03-01T01:15:00Z,4,4,4,4,4,4,1,0,0,4,-1.7587637306712733,-0.31249436091387234,,,,,,,,17.799999237060547,-1.578610145559951,7.800000190734863,PS_050,,,2.336392316183451
21.683093200059908,13.410882949829103,2025-03-01T01:30:00Z,3,3,3,3,3,3,1,0,0,3,-1.4423700232750463,-0.22954147165473449,,,,,,,,17.85430600002026,-1.6171408873648507,7.800000190734863,PS_050,,,2.3387615507210855
21.564133800669772,13.406106609880979,2025-03-01T01:45:00Z,4,4,4,4,4,4,1,0,0,4,-1.7128947304646898,-0.3797974724343553,,,,,,,,17.6252495238923,-1.548730215182549,7.800000190734863,PS_050,,,2.181292274294571
21.448924257246116,13.402777516508761,2025-03-01T02:00:00Z,4,4,4,4,4,4,1,0,0,4,-1.7041990553101798,-0.35087169465730195,,,,,,,,17.600000381469723,-1.433291009388495,7.800000190734863,PS_050,,,2.545477495209628
21.276528504466267,13.395166397094727,2025-03-01T02:15:00Z,3,3,3,3,3,3,1,0,0,3,-1.701412437118408,-0.4171652955136625,,,,,,,,17.351465580231498,-1.7137441579128527,7.800000190734863,PS_050,,,1.850811947823517
21.117366881959935,13.390475950249535,2025-03-01T02:30:00Z,4,4,4,4,4,4,1,0,0,4,-1.666085835359551,-0.3635520701864976,,,,,,,,17.29999923706055,-1.627447685886414,7.800000190734863,PS_050,,,2.123810121060682
