Date,my_shape1_pv,my_shape2_pv
2026-01-01 00:00:00,0.0,0.0
2026-01-01 00:05:00,0.0,0.0
2026-01-01 00:10:00,0.0,0.0
2026-01-01 00:15:00,0.0,0.0
2026-01-01 00:20:00,0.0,0.0
2026-01-01 00:25:00,0.0,0.0
2026-01-01 00:30:00,0.0,0.0
2026-01-01 00:35:00,0.0,0.0
2026-01-01 00:40:00,0.0,0.0
2026-01-01 00:45:00,0.0,0.0
2026-01-01 00:50:00,0.0,0.0
2026-01-01 00:55:00,0.0,0.0
2026-01-01 01:00:00,0.0,0.0
2026-01-01 01:05:00,0.0,0.0
2026-01-01 01:10:00,0.0,0.0
2026-01-01 01:15:00,0.0,0.0
2026-01-01 01:20:00,0.0,0.0
2026-01-01 01:25:00,0.0,0.0
2026-01-01 01:30:00,0.0,0.0
2026-01-01 01:35:00,0.0,0.0
2026-01-01 01:40:00,0.0,0.0
2026-01-01 01:45:00,0.0,0.0
2026-01-01 01:50:00,0.0,0.0
2026-01-01 01:55:00,0.0,0.0
2026-01-01 02:00:00,0.0,0.0
2026-01-01 02:05:00,0.0,0.0
2026-01-01 02:10:00,0.0,0.0
2026-01-01 02:15:00,0.0,0.0
2026-01-01 02:20:00,0.0,0.0
2026-01-01 02:25:00,0.0,0.0
2026-01-01 02:30:00,0.0,0.0
2026-01-01 02:35:00,0.0,0.0
2026-01-01 02:40:00,0.0,0.0
2026-01-01 02:45:00,0.0,0.0
2026-01-01 02:50:00,0.0,0.0
2026-01-01 02:55:00,0.0,0.0
2026-01-01 03:00:00,0.0,0.0
2026-01-01 03:05:00,0.0,0.0
2026-01-01 03:10:00,0.0,0.0
2026-01-01 03:15:00,0.0,0.0
2026-01-01 03:20:00,0.0,0.0
2026-01-01 03:25:00,0.0,0.0
2026-01-01 03:30:00,0.0,0.0
2026-01-01 03:35:00,0.0,0.0
2026-01-01 03:40:00,0.0,0.0
2026-01-01 03:45:00,0.0,0.0
2026-01-01 03:50:00,0.0,0.0
2026-01-01 03:55:00,0.0,0.0
2026-01-01 04:00:00,0.0,0.0
2026-01-01 04:05:00,0.0,0.0
2026-01-01 04:10:00,0.0,0.0
2026-01-01 04:15:00,0.0,0.0
2026-01-01 04:20:00,0.0,0.0
2026-01-01 04:25:00,0.0,0.0
2026-01-01 04:30:00,0.0,0.0
2026-01-01 04:35:00,0.0,0.0
2026-01-01 04:40:00,0.00032813671671238636,0.0
2026-01-01 04:45:00,0.00016406835835599631,0.0
2026-01-01 04:50:00,0.0,0.0
2026-01-01 04:55:00,0.0,0.0
2026-01-01 05:00:00,0.0012054001838403747,0.0004182600307717404
2026-01-01 05:05:00,0.011074614189058299,0.005940999620773045
2026-01-01 05:10:00,0.011812921801625433,0.00982911072313255
2026-01-01 05:15:00,0.011812921801625433,0.010038240738508383
2026-01-01 05:20:00,0.011812921801625433,0.010038240738508383
2026-01-01 05:25:00,0.011812921801625433,0.010038240738508383
2026-01-01 05:30:00,0.025348561824445778,0.010038240738508383
2026-01-01 05:35:00,0.034618424774450283,0.010038240738508383
2026-01-01 05:40:00,0.028527805144235526,0.010247370753917677
2026-01-01 05:45:00,0.033831566282427006,0.016935263426666035
2026-01-01 05:50:00,0.03921568741791496,0.020008194455777745
2026-01-01 05:55:00,0.036669279391397726,0.02321343229214756
2026-01-01 06:00:00,0.03431372638590974,0.023354274981791025
2026-01-01 06:05:00,0.04098360771750927,0.02335285232835254
2026-01-01 06:10:00,0.04200150120615507,0.030387872679142818
2026-01-01 06:15:00,0.05279652953394024,0.03715543396703413
2026-01-01 06:20:00,0.08359282920911332,0.04889374537906262
2026-01-01 06:25:00,0.06766313256485404,0.06104889379946544
2026-01-01 06:30:00,0.07276431847441767,0.07552581114359162
2026-01-01 06:35:00,0.084940533478506,0.08952472052185058
2026-01-01 06:40:00,0.10430729803403581,0.10816716795099794
2026-01-01 06:45:00,0.11985193979766709,0.12624482054758787
2026-01-01 06:50:00,0.13717454464804857,0.14012564739778266
2026-01-01 06:55:00,0.16843458760451316,0.16102157595369257
2026-01-01 07:00:00,0.21402717951141115,0.18528919807260472
2026-01-01 07:05:00,0.2455802010470705,0.20780552828780477
2026-01-01 07:10:00,0.2031501148153861,0.22634839024929615
2026-01-01 07:15:00,0.17301510954574487,0.2467734226740744
2026-01-01 07:20:00,0.31369870435515373,0.2662523888768188
2026-01-01 07:25:00,0.3255384168491366,0.28595044688064347
2026-01-01 07:30:00,0.3766473887753064,0.30606391828925095
2026-01-01 07:35:00,0.41216650697581,0.325963992032081
2026-01-01 07:40:00,0.43394408450311706,0.3539333493559662
2026-01-01 07:45:00,0.44700424850007164,0.3735759285604019
2026-01-01 07:50:00,0.47309113621037563,0.3936765878170876
2026-01-01 07:55:00,0.4922050860701508,0.41296208466619005
2026-01-01 08:00:00,0.5149285472079517,0.43143948840171803
2026-01-01 08:05:00,0.5380906572736818,0.4508843295340413
2026-01-01 08:10:00,0.5561917370883445,0.4674055878549461
2026-01-01 08:15:00,0.5754580722370293,0.48470364252351034
2026-01-01 08:20:00,0.5993417181774364,0.5001692996384282
2026-01-01 08:25:00,0.6176470662056792,0.5177362103885067
2026-01-01 08:30:00,0.6374959937381456,0.5340754008534307
2026-01-01 08:35:00,0.6553359027180835,0.5459687702438807
2026-01-01 08:40:00,0.6724526124969775,0.5618683410552993
2026-01-01 08:45:00,0.6903176320399697,0.5761532142404362
2026-01-01 08:50:00,0.7049197023352407,0.588568696855986
2026-01-01 08:55:00,0.7171327712278309,0.5999726756424204
2026-01-01 09:00:00,0.7294479460061404,0.6102840814210759
2026-01-01 09:05:00,0.7461829029732678,0.6273900601810332
2026-01-01 09:10:00,0.7609289735209208,0.6365747004646631
2026-01-01 09:15:00,0.7739104766519519,0.6505337894155443
2026-01-01 09:20:00,0.7880906572756504,0.6639579429883042
2026-01-01 09:25:00,0.8011457987725306,0.676249654895841
2026-01-01 09:30:00,0.8081806416268726,0.685400151534958
2026-01-01 09:35:00,0.8218418309896413,0.6922971676596453
2026-01-01 09:40:00,0.8340414994136941,0.7014476643021084
2026-01-01 09:45:00,0.8424090404840878,0.7116694626520632
2026-01-01 09:50:00,0.851735821587064,0.7222753670281228
2026-01-01 09:55:00,0.8619331628134772,0.7271920517911376
2026-01-01 10:00:00,0.8756328579747129,0.7344646480021209
2026-01-01 10:05:00,0.8910093301997704,0.7441272993055855
2026-01-01 10:10:00,0.9007352934273728,0.7500682933939494
2026-01-01 10:15:00,0.9045088621535945,0.7610241352199566
2026-01-01 10:20:00,0.9120057746486052,0.7684830988227906
2026-01-01 10:25:00,0.9177983868022233,0.7783392307762645
2026-01-01 10:30:00,0.9196399687020697,0.7868751418241875
2026-01-01 10:35:00,0.9266580855494931,0.7924633398593405
2026-01-01 10:40:00,0.9398103800534426,0.7961622618840906
2026-01-01 10:45:00,0.9390871406136486,0.8090543638010177
2026-01-01 10:50:00,0.9443250262830474,0.8117730481425861
2026-01-01 10:55:00,0.9436676704589063,0.818697097979632
2026-01-01 11:00:00,0.9502314835593799,0.8318495142481115
2026-01-01 11:05:00,0.9535519561736744,0.8342893621543922
2026-01-01 11:10:00,0.9610254303507539,0.8420513457136553
2026-01-01 11:15:00,0.9615075899759706,0.8487890297181236
2026-01-01 11:20:00,0.9618868888815615,0.9036465644818763
2026-01-01 11:25:00,0.96207010953938,0.9144558631977601
2026-01-01 11:30:00,0.9670524256600582,0.9547254936239623
2026-01-01 11:35:00,0.969623943654652,0.9621375188068916
2026-01-01 11:40:00,0.9730697777739443,0.7696667638783015
2026-01-01 11:45:00,0.9820797339563473,0.8257989629417599
2026-01-01 11:50:00,0.98545485132499,0.9650368757960214
2026-01-01 11:55:00,0.9888299686975704,0.7431086735251949
2026-01-01 12:00:00,0.9953391236281539,0.9722070524702155
2026-01-01 12:05:00,0.9977499217503006,1.0
2026-01-01 12:10:00,1.0,0.7463124909047946
2026-01-01 12:15:00,0.9938122848182485,0.7999863516589253
2026-01-01 12:20:00,0.9828833333303961,0.8084799251741532
2026-01-01 12:25:00,0.983365492955613,0.9437995112048772
2026-01-01 12:30:00,0.9904741330162917,0.7975280052085842
2026-01-01 12:35:00,0.992121377802513,0.8930688427718132
2026-01-01 12:40:00,0.9824815336433719,0.9511062543161094
2026-01-01 12:45:00,0.9767759780868372,0.6746790529600061
2026-01-01 12:50:00,0.9801510954554798,0.7258262816043111
2026-01-01 12:55:00,0.9714722222173271,0.8190385213951245
2026-01-01 13:00:00,0.9699984209625336,0.7220172171455095
2026-01-01 13:05:00,0.9738026604012812,0.6802786154918642
2026-01-01 13:10:00,0.9749762503227786,0.7994400435862022
2026-01-01 13:15:00,0.9636982018696754,0.6293362478981928
2026-01-01 13:20:00,0.9586949921667997,0.6935946497476945
2026-01-01 13:25:00,0.9446319916230336,0.6936629370367203
2026-01-01 13:30:00,0.9410157867771648,0.8878721666772342
2026-01-01 13:35:00,0.933863715945429,0.8864381352506172
2026-01-01 13:40:00,0.9283992191252811,0.7609259836420775
2026-01-01 13:45:00,0.9276759854344425,0.5430210315599827
2026-01-01 13:50:00,0.87584381574368,0.7688316601570532
2026-01-01 13:55:00,0.9416586605298112,0.6961895740318234
2026-01-01 14:00:00,0.8698971667247055,0.6260655729795739
2026-01-01 14:05:00,0.9175506218266659,0.7396886043984476
2026-01-01 14:10:00,0.8747991236238418,0.7777545391536559
2026-01-01 14:15:00,0.8640308920123745,0.8004643659344961
