Date,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature,my_shape6_temperature,my_shape7_temperature,my_shape8_temperature,my_shape9_temperature,my_shape10_temperature,my_shape11_temperature,my_shape12_temperature,my_shape13_temperature,my_shape14_temperature,my_shape15_temperature,my_shape16_temperature,my_shape17_temperature,my_shape18_temperature,my_shape19_temperature,my_shape20_temperature,my_shape21_temperature,my_shape22_temperature,my_shape23_temperature,my_shape24_temperature,my_shape25_temperature,my_shape26_temperature,my_shape27_temperature,my_shape28_temperature,my_shape29_temperature,my_shape30_temperature,my_shape31_temperature,my_shape32_temperature,my_shape33_temperature,my_shape34_temperature,my_shape35_temperature,my_shape36_temperature,my_shape37_temperature,my_shape38_temperature,my_shape39_temperature,my_shape40_temperature,my_shape41_temperature,my_shape42_temperature,my_shape43_temperature,my_shape44_temperature,my_shape45_temperature
2026-01-01 00:50:00,18.751962,19.225911,19.226554,19.43317,19.682033,16.050012,15.247055,17.527563,11.601794,13.461656,25.0,17.116745,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.737177,25.0,25.0,25.0,25.0,25.0,20.512836,22.947568,22.944445,25.0,21.200001,21.90591,22.633995,25.0,19.049382,22.317255,20.671383,22.700001
2026-01-01 00:55:00,18.712874,19.099685,19.097821,19.36181,19.667331,16.340203,15.3504,17.476365,11.790841,13.426519,25.0,17.196288,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.512259,25.0,25.0,25.0,25.0,25.0,20.522098,22.572656,22.822223,25.0,21.200001,21.921432,22.620282,25.0,19.047186,22.124889,20.522148,22.700001
2026-01-01 01:00:00,18.682415,18.966216,18.962745,19.32855,19.661241,16.49646,15.4,17.408394,11.892636,13.411131,25.0,17.239119,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.30551,25.0,25.0,25.0,25.0,25.0,20.527086,22.273801,22.700001,25.0,21.200001,21.943248,22.6,25.0,19.042694,22.029373,20.412748,22.700001
2026-01-01 01:05:00,18.655398,18.810218,18.808511,19.373,19.72373,16.444305,15.386505,17.255055,11.794388,13.434171,25.0,17.218493,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.148634,25.0,25.0,25.0,25.0,25.0,20.521943,22.123964,22.595556,25.0,21.355556,22.001733,22.52332,25.0,18.969027,22.065524,20.375665,22.554487
2026-01-01 01:10:00,18.632726,18.645388,18.646754,19.45555,19.83978,16.309468,15.356817,17.045318,11.595015,13.47696,25.0,17.174598,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.005128,25.0,25.0,25.0,25.0,25.0,20.512393,22.006808,22.491111,25.0,21.644444,22.090412,22.405472,25.0,18.834527,22.132661,20.350588,22.240609
2026-01-01 01:15:00,18.62321,18.564085,18.565264,19.5,19.902269,16.124392,15.32713,16.939729,11.437569,13.5,25.0,17.134408,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.91023,25.0,25.0,25.0,25.0,25.0,20.507251,21.905111,22.4,25.0,21.799999,22.150696,22.34442,25.0,18.747461,22.168812,20.312095,21.94236
2026-01-01 01:20:00,18.625271,18.558246,18.557015,19.470855,19.82056,15.640566,15.305291,17.182284,11.367564,13.422222,25.0,17.106567,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.868718,25.0,25.0,25.0,25.0,25.0,20.507274,21.805989,22.312593,25.0,21.722222,22.175282,22.375099,25.0,18.728533,22.166813,20.221938,21.701089
2026-01-01 01:25:00,18.629098,18.555227,18.552604,19.416729,19.649457,14.950906,15.283451,17.654795,11.314909,13.277778,25.0,17.081412,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.841181,25.0,25.0,25.0,25.0,25.0,20.507342,21.717417,22.234075,25.0,21.577778,22.19312,22.433747,25.0,18.717231,22.160938,20.078144,21.472792
2026-01-01 01:30:00,18.631159,18.55051,18.546256,19.387584,19.5,14.6,15.25426,17.974528,11.249253,13.2,25.0,17.058455,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.796579,25.0,25.0,25.0,25.0,25.0,20.507452,21.653462,22.200001,25.0,21.5,22.200001,22.470283,25.0,18.700001,22.15137,19.909706,21.313433
2026-01-01 01:35:00,18.623081,18.539233,18.533263,19.467659,19.408362,14.705827,15.207835,18.080079,11.142367,13.265395,25.0,17.033513,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.646123,25.0,25.0,25.0,25.0,25.0,20.508183,21.607232,22.200001,25.0,21.5,22.126438,22.478004,25.0,18.661724,22.026041,19.677895,21.232852
2026-01-01 01:40:00,18.608079,18.521895,18.515047,19.616368,19.329929,14.902363,15.141829,18.154822,11.010761,13.386843,25.0,17.010261,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.407483,25.0,25.0,25.0,25.0,25.0,20.51006,21.57057,22.200001,25.0,21.5,21.986209,22.483138,25.0,18.602308,21.748048,19.402686,21.175665
2026-01-01 01:45:00,18.6,18.502024,18.495022,19.696443,19.254562,15.008189,15.06019,18.183195,10.891184,13.452239,25.0,17.0,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.209304,25.0,25.0,25.0,25.0,25.0,20.512994,21.555646,22.200001,25.0,21.5,21.9,22.485002,25.0,18.530744,21.430322,19.201129,21.1
2026-01-01 01:50:00,18.608074,18.481142,18.475584,19.660195,19.17758,14.95548,14.924612,17.926085,10.777708,13.412555,25.0,17.035455,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.069084,25.0,25.0,25.0,25.0,25.0,20.533411,21.603654,22.122223,25.0,21.5,21.887846,22.379089,25.0,18.429337,21.062956,19.10391,20.930095
2026-01-01 01:55:00,18.623069,18.456172,18.453654,19.580293,19.103337,14.857591,14.755621,17.40572,10.673102,13.318869,25.0,17.101301,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.950175,25.0,25.0,25.0,25.0,25.0,20.56773,21.692812,21.977778,25.0,21.5,21.881354,22.177481,25.0,18.304192,20.629656,19.0334,20.718126
2026-01-01 02:00:00,18.631142,18.423755,18.424434,19.5,19.035235,14.804881,14.645403,16.99855,10.627167,13.209227,25.0,17.136756,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.9,25.0,25.0,25.0,25.0,25.0,20.585858,21.74082,21.9,25.0,21.5,21.868562,22.054378,25.0,18.200001,20.233779,18.94417,20.614128
2026-01-01 02:05:00,18.623069,18.368335,18.370954,19.436562,18.965288,14.816022,14.610119,16.776081,10.633086,13.046745,25.0,17.039596,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.913697,25.0,25.0,25.0,25.0,25.0,20.571798,21.705833,21.9,25.0,21.527778,21.741653,22.036898,25.0,18.117269,19.847793,18.782453,20.79327
2026-01-01 02:10:00,18.608074,18.294313,18.297527,19.372725,18.900108,14.836712,14.587839,16.598734,10.645303,12.854926,25.0,16.859156,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.939135,25.0,25.0,25.0,25.0,25.0,20.545687,21.617298,21.9,25.0,21.588889,21.492838,22.027165,25.0,18.046195,19.489996,18.583756,21.125961
2026-01-01 02:15:00,18.6,18.22826,18.231288,19.299999,18.864989,14.847852,14.553624,16.526325,10.655503,12.762402,25.0,16.761996,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.952832,25.0,25.0,25.0,25.0,25.0,20.531628,21.499854,21.9,25.0,21.65,21.260193,22.011883,25.0,18.016008,19.332486,18.436566,21.305103
2026-01-01 02:20:00,18.6,18.169636,18.171755,19.209994,18.854755,14.8452,14.45293,16.538568,10.662141,12.769046,25.0,16.875826,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.952387,25.0,25.0,25.0,25.0,25.0,20.534194,21.27498,21.977778,25.0,21.711111,21.090511,21.968653,25.0,18.018863,19.423077,18.362495,21.272942
2026-01-01 02:25:00,18.6,18.116511,18.117348,19.106656,18.847962,14.837538,14.306629,16.570425,10.667741,12.781385,25.0,17.087225,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.951058,25.0,25.0,25.0,25.0,25.0,20.53896,20.953356,22.122223,25.0,21.772222,20.933546,21.90406,25.0,18.024167,19.592221,18.307639,21.1981
2026-01-01 02:30:00,18.6,18.093363,18.093549,19.0,18.845501,14.825304,14.202905,16.614585,10.670098,12.78803,25.0,17.201055,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.94885,25.0,25.0,25.0,25.0,25.0,20.541526,20.693419,22.200001,25.0,21.799999,20.781813,21.848291,25.0,18.027023,19.685981,18.247206,21.113036
2026-01-01 02:35:00,18.6,18.102787,18.102515,18.886695,18.896706,14.691472,14.152652,16.735786,10.653503,12.742888,25.0,17.1759,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.707453,25.0,25.0,25.0,25.0,25.0,20.532473,20.513074,22.044445,25.0,21.799999,20.608485,21.813709,25.0,18.005789,19.689981,18.151345,21.01058
2026-01-01 02:40:00,18.6,18.124416,18.123217,18.769724,19.013355,14.457984,14.114893,16.910717,10.614482,12.652018,25.0,17.116409,-200.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.207425,25.0,25.0,25.0,25.0,25.0,20.510945,20.362823,21.755556,25.0,21.799999,20.439898,21.784505,25.0,17.966356,19.692429,18.048205,20.891463
