Date,my_shape1_irrad,my_shape2_irrad,my_shape3_irrad,my_shape4_irrad,my_shape5_irrad,my_shape6_irrad,my_shape7_irrad,my_shape8_irrad,my_shape9_irrad,my_shape10_irrad,my_shape11_irrad,my_shape12_irrad,my_shape13_irrad,my_shape14_irrad,my_shape15_irrad,my_shape16_irrad,my_shape17_irrad,my_shape18_irrad,my_shape19_irrad,my_shape20_irrad,my_shape21_irrad,my_shape22_irrad,my_shape23_irrad,my_shape24_irrad,my_shape25_irrad,my_shape26_irrad,my_shape27_irrad,my_shape28_irrad,my_shape29_irrad,my_shape30_irrad,my_shape31_irrad,my_shape32_irrad,my_shape33_irrad,my_shape34_irrad,my_shape35_irrad,my_shape36_irrad,my_shape37_irrad,my_shape38_irrad,my_shape39_irrad,my_shape40_irrad,my_shape41_irrad,my_shape42_irrad,my_shape43_irrad,my_shape44_irrad,my_shape45_irrad
2026-01-01 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.001025,0.0,0.0,0.0,0.0,0.000407,0.0,0.0,0.0,0.0,0.004474,0.000688,0.0008,0.000659,0.0,0.000659,6.2e-05,0.0009,0.0008,0.0,0.0,0.0,0.001096,0.000958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000817,0.0,0.0,0.0,0.0,0.000549,0.0,0.0,0.0,0.0,0.004463,0.000857,0.0008,0.00075,0.0,0.00075,0.0,0.0009,0.0008,0.0,0.0,0.0,0.001094,0.000946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.0,0.0,0.0,0.0,0.000407,0.0,0.0,0.0,0.0,0.004463,0.000635,0.0008,0.000729,0.0,0.000729,0.000529,0.0009,0.0008,2.1e-05,0.0,0.0,0.001109,0.000992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000645,0.0,0.0,0.0,0.0,0.000142,0.0,0.0,0.0,0.0,0.004464,0.000222,0.0008,0.000683,0.0,0.000683,0.001512,0.0009,0.0008,5.9e-05,0.0,0.0,0.001136,0.001077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000222,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.0008,0.000638,0.0,0.000638,0.002041,0.0009,0.0008,7.9e-05,0.0,0.0,0.00115,0.001122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004414,0.000178,0.0008,0.000605,0.0,0.000605,0.001591,0.0009,0.0008,7.3e-05,0.0,0.0,0.00115,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000222,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004321,0.000508,0.0008,0.000572,0.0,0.000572,0.000756,0.0009,0.0008,6.2e-05,0.0,0.0,0.00115,0.001055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004271,0.000685,0.0008,0.00054,0.0,0.00054,0.000307,0.0009,0.0008,5.5e-05,0.0,0.0,0.00115,0.001019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004285,0.000508,0.0008,0.000503,0.0,0.000503,0.000722,0.0009,0.000895,5.4e-05,0.0,0.0,0.000852,0.000998,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,6.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004311,0.000178,0.0008,0.000467,0.0,0.000467,0.001492,0.0009,0.001108,5.4e-05,0.0,0.0,0.000298,0.000982,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004327,0.0,0.0008,0.000449,0.0,0.000449,0.001907,0.0009,0.001337,5.3e-05,0.0,0.0,0.0,0.000975,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004329,3.7e-05,0.0008,0.000446,0.0,0.000446,0.001832,0.000922,0.001605,3.8e-05,0.0,0.0,0.0,0.000991,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004331,0.000111,0.0008,0.000445,0.0,0.000445,0.001646,0.000963,0.001891,1.3e-05,0.0,0.0,0.0,0.001027,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0
