date,DSS-0.Bus-671-V3_pu,DSS-0.Bus-671-V1_pu,DSS-0.Bus-671-V2_pu,DSS-0.Generator-Gen_0-P_mw,CSV-0.csv-0-DNI,PV-0.PV_0-P_gen
2016-01-01 00:15:00,0.9642722401938758,0.9836988993583494,1.0118437873924562,-1.0000087192412883e-11,0.0,0.0
2016-01-01 00:30:00,0.970158879089552,0.9872716298391304,1.012296913506957,-1.0000120039827389e-11,0.0,0.0
2016-01-01 00:45:00,0.9721928059148321,0.9892793516856013,1.0129421326875565,-1.0000042797741777e-11,0.0,0.0
2016-01-01 01:00:00,0.9764656837106165,0.9930262505965136,1.0137942931570463,-1.0000072575300536e-11,0.0,0.0
2016-01-01 01:15:00,0.9775062936723851,0.9942471301511726,1.0142736283997427,-1.0000324502855866e-11,0.0,0.0
2016-01-01 01:30:00,0.9782178474158095,0.9953700251085202,1.0141164961716649,-1.0000160807310173e-11,0.0,0.0
2016-01-01 01:45:00,0.9773104674906339,0.9955895915636626,1.0139211845621454,-9.999784952481155e-12,0.0,0.0
2016-01-01 02:00:00,0.9773996731913248,0.998098121403278,1.0138183437822341,-1.0000089785443259e-11,0.0,0.0
2016-01-01 02:15:00,0.9792256258856353,0.9981086981599858,1.0140950467034855,-1.0000026203866287e-11,0.0,0.0
2016-01-01 02:30:00,0.9824997179573722,0.9999954029648098,1.0139590098537579,-1.0000044568344017e-11,0.0,0.0
2016-01-01 02:45:00,0.9839480940868686,1.0005284004910142,1.014263049142615,-1.0000017942264726e-11,0.0,0.0
2016-01-01 03:00:00,0.9871622384655397,1.0020139378971458,1.014093728806174,-1.0000034319326836e-11,0.0,0.0
2016-01-01 03:15:00,0.9915142723160518,1.0033165760938954,1.0144010795717973,-0.0006250021474691831,1.2499999999999996,0.6249999999999998
2016-01-01 03:30:00,0.9966859107437168,1.0045356471171687,1.0136114370917506,-0.0033333424749043125,6.666666666666667,3.3333333333333335
2016-01-01 03:45:00,0.9980567083324238,1.0042133350937892,1.0139524557978925,-0.010548595676918569,21.09686609686609,10.548433048433045
2016-01-01 04:00:00,1.0006404150790456,1.0053960028155897,1.0137540069283384,-0.02250002205698838,45.0,22.5
2016-01-01 04:15:00,1.0027442553181727,1.0067209971669906,1.0147388556604786,-0.0396736121988256,79.34523809523809,39.672619047619044
2016-01-01 04:30:00,1.0091236683251985,1.0088721767128315,1.0143524086873206,-0.04583337751396633,91.66666666666669,45.83333333333334
2016-01-01 04:45:00,1.0130345849989641,1.010351255616674,1.0139304479003761,-0.06750153233528594,135.0,67.5
2016-01-01 05:00:00,1.019040823202027,1.015600783100479,1.0099283110337574,-0.08250190299621114,165.0,82.5
2016-01-01 05:15:00,1.01858344700768,1.015557898472794,1.006770645178334,-0.06791612832714063,135.83333333333334,67.91666666666667
2016-01-01 05:30:00,1.0198401200580995,1.0166090351701271,1.0061327573432988,-0.06250034042943017,125.0,62.5
2016-01-01 05:45:00,1.0193851944939607,1.0163915722131773,1.0056792071313174,-0.09416636288800286,188.3333333333333,94.16666666666664
2016-01-01 06:00:00,1.0163776558729047,1.014103840597253,1.004901555851715,-0.054165340507060254,108.33333333333331,54.16666666666666
2016-01-01 06:15:00,1.0147892908295217,1.0120034898303432,1.005109869940052,-0.032610834977431724,65.22270114942529,32.611350574712645
2016-01-01 06:30:00,1.0132548103144847,1.0101579095955628,1.0049876511683675,-0.01583304022180279,31.666666666666668,15.833333333333334
2016-01-01 06:45:00,1.0131664654051036,1.0096934981829606,1.005231794799243,-0.02106056662929828,42.121212121212125,21.060606060606062
2016-01-01 07:00:00,1.0096913618064212,1.0065748816840419,1.0063141509984475,-0.03833189878101818,76.66666666666666,38.33333333333333
2016-01-01 07:15:00,1.0076385278585658,1.0054385758393578,1.0086119935001552,-0.051943841727449695,103.8888888888889,51.94444444444445
2016-01-01 07:30:00,1.0074615854448572,1.0062391510579192,1.0093249469414038,-0.04750023094311384,95.0,47.5
2016-01-01 07:45:00,1.0060875719833575,1.0057682262223029,1.0107472576359922,-0.08215120491034819,164.30365296803652,82.15182648401826
2016-01-01 08:00:00,1.0021752652608638,1.0015330834503833,1.0102113106037258,-0.10416646246465268,208.3333333333333,104.16666666666664
2016-01-01 08:15:00,0.9994863703758294,0.9990121520411281,1.0097187631608822,-0.0439839491282823,87.96803652968039,43.984018264840195
2016-01-01 08:30:00,0.9963848143530311,0.9961928202661866,1.010616208683459,-0.20583290667915058,411.6666666666667,205.83333333333334
2016-01-01 08:45:00,0.9959555269651303,0.996115631489824,1.0110318010584702,-0.3576344932077439,715.2726063829788,357.6363031914894
2016-01-01 09:00:00,0.9882478028343288,0.9902638858595654,1.0094626420483201,-0.25416449365044186,508.3333333333333,254.16666666666666
2016-01-01 09:15:00,0.9833599031799564,0.9875045825963573,1.008080042485719,-0.1570823224508424,314.1666666666667,157.08333333333334
2016-01-01 09:30:00,0.979950122831887,0.9917496217348363,1.0019492822170457,-0.1283327368859968,256.6666666666667,128.33333333333334
2016-01-01 09:45:00,0.9780593341487449,0.9892545365735032,1.0045125407750979,-0.10219672294600983,204.39393939393932,102.19696969696966
2016-01-01 10:00:00,0.9753076591764291,0.9827294277064642,1.0096517084465115,-0.2599983195269127,520.0,260.0
2016-01-01 10:15:00,0.9714728299620368,0.9744951865218308,1.0114974414549325,-0.1129793776759269,225.9618208516887,112.98091042584436
2016-01-01 10:30:00,0.9667701452717656,0.968639485070325,1.0121214813529478,-0.07999873423250088,160.0,80.0
2016-01-01 10:45:00,0.9660311278501109,0.9672336365158994,1.0125152488637403,-0.0833330623206088,166.66666666666669,83.33333333333334
2016-01-01 11:00:00,0.963425414086889,0.9649643846778153,1.013270570903941,-0.13583220770836263,271.6666666666667,135.83333333333334
2016-01-01 11:15:00,0.962837040322974,0.9650096767418511,1.0128276481459213,-0.20212575970574106,404.2594401041666,202.1297200520833
