date,PVSimulator-0.PVPanel_0-irradiance,PVSimulator-0.PVPanel_0-P_dc,PVSimulator-0.PVPanel_0-temperature,InverterSim-0.Inverter_0-Q_ac,InverterSim-0.Inverter_0-P_ac,DSS-0.PVSystem-pv-Q_meas,DSS-0.PVSystem-pv-P_meas,DSS-0.PVSystem-pv-P1,DSS-0.PVSystem-pv-Q1,DSS-0.PVSystem-pv-Q2,DSS-0.PVSystem-pv-P3,DSS-0.PVSystem-pv-P2,DSS-0.PVSystem-pv-Q3,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-Q3_var,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-I3_ang
2026-01-01 00:50:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029833964288,1.0068283595852494,1.0000031390096717,1.0099247650489374,1.0000015345763436,1.0003359105759029,109.53727401485969,11.32260075606091,-69.22003378664922,228.64456643554715,197.82041435641779,146.78704808625668,345.6881705292232,-130.1358083955786,100.06791160474074,-136.49599376895728,-85.39460882397489,149.6465818886804
2026-01-01 00:55:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030290104196,1.006885081749424,1.0000031843721242,1.0103460134805637,1.0000016016125888,1.0006319063175002,109.60536106429927,12.039721661045201,-72.01208051456784,227.71537512710603,192.00291362005711,143.73511767234237,337.6259690470836,-132.08123312582157,98.54092259787758,-138.38173499437764,-84.21893787061336,150.1146159733933
2026-01-01 01:00:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029186346495,1.0054322977648182,1.000003223773108,1.0106732902914302,1.0000015981213835,1.0012604735805235,112.71043031906373,12.199295890566335,-71.80746726072405,238.82033894936814,189.43752208385783,141.47992993186296,332.1299614254534,-127.46234982748327,98.0863708017491,-140.0445424219385,-83.52603252760933,148.08925424145485
2026-01-01 01:05:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.00000277123048,1.0044185124110072,1.0000030852496309,1.0101163858150666,1.0000014651632028,1.0012879491271327,117.14289199547488,10.87005731141089,-66.23779175277349,253.86247101040382,193.06534477538258,146.23571812089705,344.9236724936311,-121.29606754657625,97.88288854955124,-134.14461195265696,-85.20812450927612,145.5382363217635
2026-01-01 01:10:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000027623467667,1.0041308871493888,1.0000030232127093,1.0094973849467372,1.0000015827188165,1.0017756944368388,118.03055758670561,11.944003818403115,-71.19148431550057,256.3912278522279,194.73810710755777,143.21920358530767,336.5335118658707,-120.94067173574392,97.83588397476151,-131.5028443938803,-85.96987300924661,145.25307732684192
2026-01-01 01:15:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029657998506,1.005659967771137,1.000003018697936,1.0094464537418477,1.0000015039793302,1.0003132108096586,113.5980916779502,11.128014673424637,-67.90397310053308,240.1482930403224,198.18685437387214,146.48149867067988,345.2011857917093,-129.49683308402305,98.99256292329389,-131.34387369569478,-86.46673657160137,148.3348635428989
2026-01-01 01:20:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029985681655,1.0056956833628325,1.0000030826429132,1.0099247299277048,1.0000013982298428,0.9990613223804858,111.9323534761986,10.195951383519384,-63.447841530678865,234.84533209683303,196.12389850715314,149.22894976422347,352.7546051366957,-130.84801259516198,98.91228905960082,-134.0635043385992,-85.64510489022807,149.12478282463945
2026-01-01 01:25:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030579179218,1.0056359338003642,1.0000032876290073,1.0109843522716917,1.0000013673358752,0.9985555441113771,110.28871200184253,9.978570789917766,-62.127355196932584,228.8868874349429,188.68592968505553,149.2729665846373,353.0968952182576,-133.33174382037495,98.51630016639065,-142.7734767251653,-82.88645888125875,150.2214512822273
2026-01-01 01:30:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030716900628,1.005894592622261,1.000003172300393,1.0100335606833655,1.0000015975704386,0.9998653362576502,110.35182929131788,12.055056457240205,-71.82569986474182,228.71874654599623,190.22709514557334,143.18345950775276,336.31094330837294,-133.92024676369067,97.81116521071313,-137.84665208764707,-84.07156988041054,150.34967669651385
2026-01-01 01:35:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029796903167,1.0048943498347536,1.000003226175999,1.0108008414834158,1.0000016323708858,1.0007332860493996,112.61360336717395,12.477820124168954,-73.26456239314751,237.1493477824939,183.40606915599045,141.17820005936207,331.0694132373157,-130.06208262986925,96.08939441814374,-140.08717392655893,-82.62733664268941,148.7417871340297
2026-01-01 01:40:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029724624722,1.0051320491389428,1.0000030657125736,1.0101406954568843,1.0000016189758343,1.0011823886455913,112.62131049689243,12.147601562541636,-72.76001608795599,237.33901486328782,189.58106295030223,143.95741862749233,338.01174944982864,-129.75424154616343,96.48579870761365,-133.2725210148744,-84.89363688904847,148.66529470945144
2026-01-01 01:45:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029241989743,1.0049201583466463,1.0000029025381865,1.0095527029256997,1.0000015186225155,1.0010840063735955,113.66467805305764,11.216241961426991,-68.53548120912262,241.27608455210824,199.7440383054412,146.6955937684134,345.60060589653244,-127.72537218545806,98.41364718521451,-126.38159520643347,-87.67800602406354,147.89527262379502
