index,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature
2026-01-01 07:00:00,0.740419,0.762089,0.762177,0.709243,0.72574
2026-01-01 07:05:00,0.736987,0.759827,0.75986,0.705464,0.723651
2026-01-01 07:10:00,0.733555,0.757565,0.757543,0.701684,0.721562
2026-01-01 07:15:00,0.730122,0.755302,0.755226,0.697905,0.719473
2026-01-01 07:20:00,0.730748,0.754136,0.754099,0.69727,0.718805
2026-01-01 07:25:00,0.731374,0.752969,0.752973,0.696635,0.718136
2026-01-01 07:30:00,0.732,0.751803,0.751846,0.696,0.717468
2026-01-01 07:35:00,0.728,0.754393,0.754435,0.698334,0.716978
2026-01-01 07:40:00,0.724,0.756983,0.757023,0.700669,0.716489
2026-01-01 07:45:00,0.72,0.759574,0.759612,0.703003,0.716
2026-01-01 07:50:00,0.72283,0.758299,0.758343,0.705423,0.712
2026-01-01 07:55:00,0.725661,0.757023,0.757073,0.707842,0.708
2026-01-01 08:00:00,0.728491,0.755748,0.755804,0.710262,0.704
2026-01-01 08:05:00,0.725661,0.756142,0.756159,0.708837,0.703059
2026-01-01 08:10:00,0.72283,0.756536,0.756515,0.707412,0.702119
2026-01-01 08:15:00,0.72,0.75693,0.756871,0.705987,0.701178
2026-01-01 08:20:00,0.72,0.757849,0.757801,0.702658,0.699396
2026-01-01 08:25:00,0.72,0.758768,0.758732,0.699329,0.697614
2026-01-01 08:30:00,0.72,0.759686,0.759662,0.696,0.695831
2026-01-01 08:35:00,0.72,0.75919,0.759182,0.696,0.695012
2026-01-01 08:40:00,0.72,0.758694,0.758702,0.696,0.694194
2026-01-01 08:45:00,0.72,0.758198,0.758221,0.696,0.693375
2026-01-01 08:50:00,0.72,0.755382,0.755348,0.696795,0.692916
2026-01-01 08:55:00,0.72,0.752565,0.752475,0.69759,0.692458
2026-01-01 09:00:00,0.72,0.749748,0.749602,0.698384,0.692
2026-01-01 09:05:00,0.72,0.749709,0.74971,0.704239,0.68815
2026-01-01 09:10:00,0.72,0.749669,0.749817,0.710094,0.684299
2026-01-01 09:15:00,0.72,0.74963,0.749925,0.715949,0.680449
2026-01-01 09:20:00,0.72,0.755381,0.755547,0.717943,0.68607
2026-01-01 09:25:00,0.72,0.761132,0.761169,0.719937,0.691692
2026-01-01 09:30:00,0.72,0.766883,0.766791,0.72193,0.697313
2026-01-01 09:35:00,0.72177,0.779293,0.779316,0.727758,0.721383
2026-01-01 09:40:00,0.72354,0.791703,0.791842,0.733587,0.745453
2026-01-01 09:45:00,0.725309,0.804113,0.804367,0.739415,0.769522
2026-01-01 09:50:00,0.725245,0.81971,0.819855,0.745728,0.811724
2026-01-01 09:55:00,0.725181,0.835307,0.835343,0.752041,0.853925
2026-01-01 10:00:00,0.725117,0.850904,0.850831,0.758354,0.896126
2026-01-01 10:05:00,0.731411,0.861306,0.861317,0.768186,0.948496
2026-01-01 10:10:00,0.737706,0.871708,0.871804,0.778017,1.000865
2026-01-01 10:15:00,0.744,0.88211,0.88229,0.787848,1.053235
2026-01-01 10:20:00,0.750531,0.903672,0.903916,0.794348,1.068315
2026-01-01 10:25:00,0.757062,0.925234,0.925543,0.800848,1.083394
2026-01-01 10:30:00,0.763593,0.946796,0.94717,0.807348,1.098474
2026-01-01 10:35:00,0.767728,0.96905,0.969297,0.82188,1.139442
2026-01-01 10:40:00,0.771864,0.991303,0.991425,0.836413,1.180411
2026-01-01 10:45:00,0.776,1.013556,1.013553,0.850946,1.22138
2026-01-01 10:50:00,0.77654,1.069661,1.069588,0.875205,1.261342
2026-01-01 10:55:00,0.77708,1.125766,1.125623,0.899465,1.301304
2026-01-01 11:00:00,0.77762,1.181872,1.181658,0.923725,1.341267
2026-01-01 11:05:00,0.783895,1.150305,1.150082,0.935976,1.307664
